id,deleted,version,created_date,awarded_amount,awarded_duration,channel_code,code_ls,fees,label,loan_contract_base64,partner_code,pki_request_id,rate,requested_amount,requested_deadlines,requested_duration,score,status,total_loan_amount,bank_signed_contract_id,fk_client,client_signed_contract_id,other_revenue,people_in_charge_of,revenue,activity_sector_id,employer_contract_type_id,marital_status_id,profession_id,studies_level_id,eservice_tracking_id,client_signed_contract_ged_id,credit_wallet_request_uid,credit_wallet_transaction_ref,ceiling_updated,rejection_reason,annual_rate,annual_tci,m2t_remuneration,net_annual_rate,effective_annual_rate_of_charge,funds_unlock_retry_count,nb_ops_paie_m1,nb_ops_paie_m2,nb_ops_paie_m3,nb_ops_paie_m4,nb_ops_paie_m5,nb_ops_paie_m6,nb_vir_recu_in_m1,nb_vir_recu_in_m2,nb_vir_recu_in_m3,nb_vir_recu_in_m4,nb_vir_recu_in_m5,nb_vir_recu_in_m6,mt_moy_hebdo_3m,contract_nature,moy_mens_pay_telec_1an,moy_mens_pay_eauelec_1an,moy_mens_trans_emis_1an,moy_mens_trans_recus_1an,nb_fact_oay_horsrecouv_1an,nb_fact_oay_1an,awarded_deadlines,rejection_flag,produit,account_active,cdg_creation_date,cdg_nb_bourses,cdg_total_amount,cdgmad_creation_date,cdgmad_gtrx_etat,cdgmad_gtrx_mnt,cdgmad_gtrx_num,last_amount,last_amount_date,code_es
edba2209-3608-40fe-a3c2-4866d0ed11ca,f,2021-11-10 22:46:21.576,2021-11-10 22:46:21.561601,,,012006,,,,,011,,,1000,4,30,,CREATED,,,5330c7fb-b4d0-4f2f-a725-c2bdb68238de,,,,,,,,,,7828110,,,,f,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,300.33,01,2,2,0.5,0.33,5,10,4,,,f,,,,,,,,,,
3eee7c08-1f1b-4fbb-9b7e-1c6231d852db,f,2021-11-15 01:36:51.426,2021-11-15 01:36:50.196888,,,012006,,,,,011,,,200,1,7,,REJECTED,,,c791e122-ba01-497a-9e34-ecde157c380d,,,,,,,,,,7839066,,,,f,insufficient.score,,,,,,0,3,2,2,1,1,1,,,,,,,40,,,,,,,,1,,,f,,,,,,,,,,
b692fd2c-22ff-4e22-8af9-906d03ef7a04,f,2021-11-23 14:11:50.423,2021-11-23 14:11:49.687236,,,012006,,,,,011,,,401,3,14,,REJECTED,,,2c6d3bac-39d2-4edb-865c-4f5fe0646190,,,,,,,,,,7941967,,,,f,offer.with.lower.amount,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,3,,,f,,,,,,,,,,
cabb23dd-5347-4d32-b78c-1d1aaec5f946,f,2021-12-02 16:22:06.824,2021-12-02 16:22:06.808443,,,012006,,,,,011,,,200,,,,REJECTED,,,e5591894-efca-4a41-9440-2df0c9392085,,,,,,,,,,8097501,,,,f,loan.already.in.progress,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,,,,f,,,,,,,,,,
3a33a439-76d7-433a-8349-d1b44c2eb149,f,2021-12-07 15:55:59.396,2021-12-07 15:55:59.39646,,,012006,,,,,011,,,200,,,,REJECTED,,,9965da80-e8e8-4bdd-be81-3fa01bba3787,,,,,,,,,,8115730,,,,f,loan.already.in.progress,,,,,,0,3,2,2,1,1,1,,,,,,,300,,,,,,,,,,,f,,,,,,,,,,
d4b647d7-8753-4d66-8ea8-9e3012d98eb1,f,2021-12-07 15:57:01.343,2021-12-07 15:56:46.881381,200,3,012006,84100994849768000001,7.7,,,011,2758418d-a9e3-4e83-a9ca-6720ce370fd5,13.6,200,1,3,6,BANK_SIGNED_CONTRACT,207.95,,93c7e750-67ef-49c2-85b9-56cabce9792e,,,,,,,,,,8115819,,,,f,,13.6,1.6,1,11,0,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
6c207d03-8103-482f-8d43-611644ca4539,f,2022-01-18 10:45:04.648,2021-12-23 12:07:14.642813,200,3,012006,84100757695754000004,7.7,,,011,d38cfb3a-0379-451e-9082-5ecc2229bb85,13.6,200,1,3,6,FUNDS_UNLOCKED,207.95,,0a3d4f74-8482-4c1b-9458-ee61bf2e189a,,,,,,,,,,8187054,09031381804c41a4,6d1df05f-922d-45b3-94fa-20144a9bc69d,N00000010248,t,,13.6,1.6,1,11,13.6,7467,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
6453dea6-01de-44e0-a916-b5e0cced5f18,f,2021-12-23 12:04:52.255,2021-12-23 12:04:50.320251,200,3,012006,84100757695754000003,7.7,,,011,,13.6,200,1,3,6,CREATED,207.95,,0a3d4f74-8482-4c1b-9458-ee61bf2e189a,,,,,,,,,,8186954,,,,f,,13.6,1.6,1,11,13.6,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
1c5dc793-bcfb-4681-b3f5-1d49cac33034,f,2021-12-23 12:14:29.381,2021-12-23 12:14:29.381314,,,012006,,,,,011,,,200,1,3,,CREATED,,,6ae70091-3f7b-4e03-a765-44aa81bca456,,,,,,,,,,8187273,,,,f,,,,,,,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
e361a6e1-53ac-4097-ac7f-a3584e9eb72b,f,2022-01-19 10:03:32.747,2022-01-19 10:02:21.00969,200,7,012006,84100578868506000002,7.7,,,011,6c5666b2-901b-4ccd-89d5-deead9253914,13.6,200,1,7,6,FUNDS_UNLOCKED,208.28,,c682e774-b18c-4890-9cc4-4f616523f507,,,,,,,,,,8232931,09031381804c6042,38a3d0c1-8e47-47d1-b625-58a9559d9289,N00000010257,t,,13.6,1.6,1,11,13.6,0,2,2,3,6,5,6,,,,,,,300,,,,,,,,1,,,f,,,,,,,,,,
